i1,j1,m,a,b,p0,p1,perr1,perr2
108,108,trf,1.214821559177234,-0.5164002183626345,0.010101010101010102,0.08080808080808081,0.5565963835074574,0.10853080450849162
109,109,trf,1.2148233319514063,-0.5164033330701682,0.010101010101010102,0.09090909090909091,0.5565958301965268,0.10853037250961095
110,110,trf,1.214838149314666,-0.5164291869409243,0.010101010101010102,0.10101010101010102,0.5565911363881156,0.10852677691843982
111,111,trf,1.2148851635761118,-0.5165120508565778,0.010101010101010102,0.11111111111111112,0.5565763632171086,0.10851532237620112
112,112,trf,1.2148877586683542,-0.5165166593837409,0.010101010101010102,0.12121212121212122,0.5565755558194324,0.10851468825102473
113,113,trf,1.214838324636717,-0.5164296167388545,0.010101010101010102,0.13131313131313133,0.5565910990060924,0.10852672477663367
114,114,trf,1.2148365942227732,-0.5164265459977264,0.010101010101010102,0.14141414141414144,0.5565916391466093,0.10852714857067275
115,115,trf,1.2148412106487223,-0.5164345670191397,0.010101010101010102,0.15151515151515152,0.5565901766762457,0.10852603134372227
116,116,trf,1.214876449872196,-0.5164966280184387,0.010101010101010102,0.16161616161616163,0.5565790946513691,0.10851744814977932
117,117,trf,1.214885276835104,-0.5165122515922952,0.010101010101010102,0.17171717171717174,0.5565763261512687,0.10851529473693297
118,118,trf,1.2148794120377948,-0.5165018317453944,0.010101010101010102,0.18181818181818182,0.5565781629132569,0.10851672842763302
119,119,trf,1.2148352997539829,-0.5164242402503813,0.010101010101010102,0.19191919191919193,0.5565920392013686,0.10852746617020281
120,120,trf,1.2148767450620401,-0.5164972120413118,0.010101010101010102,0.20202020202020204,0.5565790078393682,0.10851737143027937
121,121,trf,1.2148856411984834,-0.5165128632152497,0.010101010101010102,0.21212121212121213,0.5565762086113053,0.1085152083709405
122,122,trf,2.4998301150341438,-1.3818935682459983,0.010101010101010102,0.22222222222222224,0.14417103421414587,0.03152679329389953
123,123,trf,1.2148231457223195,-0.5164029562687066,0.010101010101010102,0.23232323232323235,0.556595878579376,0.10853042168196894
124,124,trf,1.2148385814645248,-0.5164299780261888,0.010101010101010102,0.24242424242424243,0.5565910074356661,0.10852666926642225
125,125,trf,1.2148256250858478,-0.5164073304382122,0.010101010101010102,0.25252525252525254,0.5565950958293314,0.10852981612899158
126,126,trf,1.214883784835115,-0.5165095845488916,0.010101010101010102,0.26262626262626265,0.5565767904404204,0.10851566062177065
127,127,trf,1.2148864321503627,-0.516514310553841,0.010101010101010102,0.27272727272727276,0.5565759717936961,0.10851501183466818
128,128,trf,1.2148236345421977,-0.5164038247073135,0.010101010101010102,0.2828282828282829,0.5565957281091374,0.10853030181116831
129,129,trf,1.214821033126078,-0.516399336444192,0.010101010101010102,0.29292929292929293,0.5565965564729735,0.10853092946041404
130,130,trf,1.2148394333353496,-0.5164314082068249,0.010101010101010102,0.30303030303030304,0.5565907288221741,0.10852646677848615
131,131,trf,1.2148745715445706,-0.5164932746423572,0.010101010101010102,0.31313131313131315,0.5565796765349074,0.10851790883279822
132,132,trf,2.49982891877218,-1.3818907312511726,0.010101010101010102,0.32323232323232326,0.14417106597769347,0.031526906855449045
133,133,trf,2.499852732954192,-1.3819474926080255,0.010101010101010102,0.33333333333333337,0.14417045588500918,0.03152463931592585
134,134,trf,2.4998291994066997,-1.3818913989620287,0.010101010101010102,0.3434343434343435,0.14417105811689498,0.03152688013701209
135,135,trf,1.214873166863447,-0.5164907990765225,0.010101010101010102,0.3535353535353536,0.5565801171352059,0.10851825078328288
136,136,trf,1.214880197521753,-0.5165032658916756,0.010101010101010102,0.36363636363636365,0.5565779187929952,0.10851653346408092
137,137,trf,1.2148262255133944,-0.5164083566571755,0.010101010101010102,0.37373737373737376,0.5565949094496562,0.10852967194531898
138,138,trf,1.214835106320681,-0.5164238447032456,0.010101010101010102,0.38383838383838387,0.5565920951426702,0.10852751757069186
139,139,trf,1.2148821404007875,-0.5165067012185112,0.010101010101010102,0.393939393939394,0.5565773074714633,0.1085160597234708
140,140,trf,1.2148390615438431,-0.5164308309197843,0.010101010101010102,0.4040404040404041,0.5565908599498697,0.10852655155787566
141,141,trf,1.2148749739976068,-0.5164939899186697,0.010101010101010102,0.4141414141414142,0.5565795562492474,0.1085178102923924
142,142,trf,1.2148920288459018,-0.5165241883130398,0.010101010101010102,0.42424242424242425,0.5565742052858604,0.10851364916390067
143,143,trf,1.2148813493886488,-0.5165053011289746,0.010101010101010102,0.43434343434343436,0.5565775609001758,0.10851625263879618
144,144,trf,1.2148429313458071,-0.5164376038794776,0.010101010101010102,0.4444444444444445,0.5565896343692902,0.10852561135598114
145,145,trf,1.2148735781022268,-0.516491499256911,0.010101010101010102,0.4545454545454546,0.5565799874630932,0.1085181524891145
146,146,trf,2.499829870702927,-1.381892987079346,0.010101010101010102,0.4646464646464647,0.14417104063931233,0.0315268165338754
147,147,trf,1.21482950026986,-0.516414065256209,0.010101010101010102,0.4747474747474748,0.5565938720649903,0.10852887770598053
148,148,trf,2.4998510016353097,-1.3819433461780233,0.010101010101010102,0.48484848484848486,0.14417049934636358,0.031524804626522594
149,149,trf,-7.51732790773331,0.861023952011586,0.010101010101010102,0.494949494949495,3275.8480687159213,837.1659289176184
150,150,trf,3.4999963315291596,2.000001499493484,0.010101010101010102,0.5050505050505051,7.266172298845124e-06,1.616778780177776e-06
151,151,trf,1.2148381450125976,-0.5164292498481925,0.010101010101010102,0.5151515151515152,0.5565911495614074,0.10852677249771844
152,152,trf,1.2148261341164823,-0.5164081692139281,0.010101010101010102,0.5252525252525253,0.5565949295970105,0.10852969637281477
153,153,trf,-7.4999385738312565,0.8600520318430092,0.010101010101010102,0.5353535353535354,3217.2370260590783,824.1377376482868
154,154,trf,-7.520131317393256,0.8598134590572444,0.010101010101010102,0.5454545454545455,3282.327492540954,841.3010821631394
155,155,trf,-7.508546997047704,0.8595867838169616,0.010101010101010102,0.5555555555555556,3244.0248926538284,831.9397013757784
156,156,trf,3.499996331529188,2.0000014994934205,0.010101010101010102,0.5656565656565657,7.266172328602933e-06,1.6167787797949257e-06
157,157,trf,3.499996331529134,2.000001499493473,0.010101010101010102,0.5757575757575758,7.266172327962131e-06,1.6167787800326119e-06
158,158,trf,3.499996331529148,2.000001499493474,0.010101010101010102,0.5858585858585859,7.266172327671111e-06,1.6167787800839556e-06
159,159,trf,-7.503971443387335,0.8587177163190726,0.010101010101010102,0.595959595959596,3227.2972135030905,829.3987705830739
160,160,trf,1.2148345416507902,-0.516422883460942,0.010101010101010102,0.6060606060606061,0.5565922802025535,0.10852765259443094
161,161,trf,-7.5105899553135425,0.8582888057420103,0.010101010101010102,0.6161616161616162,3247.7708128048134,835.5289867129068
162,162,trf,-7.513349254912733,0.8580772861449845,0.010101010101010102,0.6262626262626263,3256.2826656935786,838.1448265378906
163,163,trf,-7.507004621433531,0.8578792164026438,0.010101010101010102,0.6363636363636365,3235.241061538153,833.1287333957812
164,164,trf,-7.492037858029348,0.857668476047976,0.010101010101010102,0.6464646464646465,3186.7159813093076,821.0578329655718
165,165,trf,-7.489560321888634,0.8574652645838217,0.010101010101010102,0.6565656565656566,3178.3866871405494,819.3159511690354
166,166,trf,-7.502473629078685,0.857263926845389,0.010101010101010102,0.6666666666666667,3219.2496847487932,830.2594751551957
167,167,trf,-7.49074587086088,0.8570593865419628,0.010101010101010102,0.6767676767676768,3181.2776919638773,820.8646006282235
168,168,trf,-7.503538092959606,0.8568686229491665,0.010101010101010102,0.686868686868687,3221.805012553629,831.709693650188
169,169,trf,-7.489246103049822,0.8566651417139393,0.010101010101010102,0.696969696969697,3175.639548035113,820.1924588304701
170,170,trf,-7.487424233287611,0.8564670788817964,0.010101010101010102,0.7070707070707072,3169.4345727237296,818.988699245005
171,171,trf,-7.49308499655161,0.856274306219022,0.010101010101010102,0.7171717171717172,3187.0111328938483,823.9120636818229
172,172,trf,-7.488870665943315,0.8560892385821905,0.010101010101010102,0.7272727272727273,3173.2013286501547,820.7107334147188
173,173,trf,-7.476492143565056,0.8558853144599741,0.010101010101010102,0.7373737373737375,3133.7120908760994,810.9003680698154
174,174,trf,-7.496852896192834,0.8556952933141867,0.010101010101010102,0.7474747474747475,3197.755529622416,827.848072488712
175,175,trf,-7.476494259617377,0.8555009267714285,0.010101010101010102,0.7575757575757577,3132.9002313353767,811.4410493134018
176,176,trf,-7.429404064341382,0.8633078251205258,0.010101010101010102,0.7676767676767677,3004.815438821211,763.6480643068352
177,177,trf,-7.410501772280363,0.8632793301962027,0.010101010101010102,0.7777777777777778,2948.490690844739,749.3815455714821
178,178,trf,-7.442373461699626,0.86325064070291,0.010101010101010102,0.787878787878788,3043.916933390424,773.6958388966423
179,179,trf,-7.464022315715778,0.8594859168790978,0.010101010101010102,0.797979797979798,3102.544584478035,795.8434435113099
180,180,trf,-7.489056588214312,0.8592889029794017,0.010101010101010102,0.8080808080808082,3180.766616453219,816.302224445997
181,181,trf,-7.515471762248656,0.8590906770656478,0.010101010101010102,0.8181818181818182,3265.4638634488883,838.4461538660165
182,182,trf,-7.492652393636031,0.8632603067000354,0.010101010101010102,0.8282828282828284,3200.906554494419,813.5725331336832
183,183,trf,-7.51149175798781,0.8686822133480371,0.010101010101010102,0.8383838383838385,3273.7910749397447,821.2035958052343
